股票代號,公司名稱,最新一季每股淨值(元),產業類別
6817,溫士頓,20.10,生技醫療業
6818,連騰,13.77,通信網路業
6819,眾智,8.25,半導體業
6820,連訊,14.67,通信網路業
6825,和暢科技,15.82,電腦及週邊設備業
6826,和淞,68.17,其他電子業
6827,巨生醫,4.37,生技醫療業
6831,邁科,26.88,電腦及週邊設備業
6832,金鼎科,18.70,其他
6833,太康精密,7.55,電子零組件業
6839,開陽能源,23.82,綠能環保
6842,一元素,14.93,半導體業
6847,普瑞博,11.86,生技醫療業
6848,拉法醫,19.12,生技醫療業
6850,光鼎生技,16.26,生技醫療業
6857,宏碁智醫,13.77,生技醫療業
6858,愛比科技,13.38,電腦及週邊設備業
6864,元樟生技,5.93,生技醫療業
6867,坦德科技,14.11,光電業
6868,采威國際,18.58,資訊服務業
6872,浩宇生醫,8.46,生技醫療業
6876,朗齊生醫*,4.59,生技醫療業
6878,歐付寶,8.52,金融業
6879,大江基因,39.35,生技醫療業
6882,甲尚,12.89,資訊服務業
6883,微電能源,11.64,綠能環保
6884,海柏特,12.35,資訊服務業
6885,全福生技,13.95,生技醫療業
6886,遠東生技,17.35,食品工業
6891,樂迦再生,8.89,生技醫療業
6892,台寶生醫,11.92,生技醫療業
6898,程曦資訊,21.73,資訊服務業
6908,宏碁遊戲,34.28,電子通路業
6909,創控,12.34,半導體業
6910,德鴻,11.40,數位雲端
6911,群運,19.82,其他
6912,益鈞環科*,0.91,綠能環保
6913,鴻呈,26.13,電子零組件業
6915,美強光,10.12,電子零組件業
6917,竟天,9.79,生技醫療業
6918,愛派司,28.69,生技醫療業
6919,康霈*,24.07,生技醫療業
6920,恆勁科技,5.66,半導體業
6923,中台,21.34,綠能環保
6925,意藍,13.55,數位雲端
6926,聖安生醫,21.89,生技醫療業
6927,聯合聚晶,13.46,半導體業
6931,青松健康,11.49,生技醫療業
6932,水星生醫*,0.78,生技醫療業
6934,心誠鎂,7.16,生技醫療業
6935,王子製藥,20.31,食品工業
6936,永鴻生技,15.86,農業科技
6938,藍新資訊,18.84,資訊服務業
6939,啟弘生技,35.66,生技醫療業
6940,格斯科技*,15.63,電子零組件業
6944,兆聯實業,58.57,綠能環保
6945,圓祥生技,21.05,生技醫療業
6947,台鎔科技,22.91,綠能環保
6955,邦睿生技,17.91,生技醫療業
6959,兆捷科技,38.55,化學工業
6961,旅天下,40.35,觀光餐旅
6963,品元,28.78,食品工業
6967,汎瑋材料,29.78,電子零組件業
6971,惠民實業,20.36,綠能環保
6973,永立榮,15.60,生技醫療業
6977,聯純,35.03,綠能環保
6979,勝釩,13.77,光電業
6980,鐳洋科技,20.01,通信網路業
6982,大井泵浦,18.28,電機機械
6983,華洋精機,24.35,其他電子業
6984,交流資服,8.04,數位雲端
6986,和迅,11.97,生技醫療業
6990,華鉬,14.96,綠能環保
6994,富威電力,15.76,綠能環保
6996,力領科技,41.90,半導體業
6997,博弘,16.78,數位雲端
6999,瀚醫生技,12.98,生技醫療業
7419,達勝,8.18,電子零組件業
7427,華上生醫,15.43,生技醫療業
7443,凡事康,10.24,其他
7507,環拓科技,9.30,綠能環保
7516,清淨海,4.46,其他
7530,鋒魁科技,11.55,半導體業
7547,碩網,20.19,數位雲端
7551,知識科技,8.71,數位雲端
7555,美萌,20.46,生技醫療業
7558,群利科技,9.36,其他
7561,光晟生技,13.98,生技醫療業
7562,博來科技,14.86,電腦及週邊設備業
7566,亞果遊艇,24.17,觀光餐旅
7575,安美得,13.07,生技醫療業
7578,利百景,28.19,其他
7583,國際海洋,30.43,綠能環保
7590,怡和國際,12.95,其他
7595,世基生醫,7.74,生技醫療業
7607,通用幹細胞*,1.51,生技醫療業
7610,聯友金屬,25.18,綠能環保
7631,聚賢研發,27.88,其他電子業
7642,昶瑞機電,26.12,電機機械
7702,前端風電,11.76,綠能環保
7703,銳澤,45.24,其他電子業
7704,明遠精密,29.24,半導體業
7705,三商餐飲,19.11,觀光餐旅
7706,宏碁創達,13.33,其他
7707,益芯科,14.25,半導體業
7708,全家餐飲,29.84,觀光餐旅
7709,榮田,39.15,電機機械
7712,博盛半導體,39.07,半導體業
7713,威力德生醫,20.11,生技醫療業
7714,創泓科技,16.63,數位雲端
7715,裕山,24.33,綠能環保
7716,昱臺國際,20.22,航運業
7718,友鋮,29.42,鋼鐵工業
7719,碳基,7.40,其他
7721,微程式,14.45,數位雲端
7722,LINEPAY,96.45,數位雲端
7723,築間,24.41,觀光餐旅
7724,諾亞克,14.52,生技醫療業
7725,列特博,28.90,生技醫療業
7726,暄達,16.06,生技醫療業
7728,光焱科技,22.08,其他電子業
7729,仲恩生醫,7.56,生技醫療業
7730,暉盛,24.20,半導體業
7731,火星生技*,0.49,食品工業
7732,金興精密,26.38,電機機械
7734,印能科技,136.75,半導體業
7736,虎山,38.05,電機機械
7738,東聯互動,44.86,數位雲端
7742,天弘化,25.64,化學工業
7743,金利食安,15.85,食品工業
7747,昕奇雲端,19.22,數位雲端
7750,新代,65.86,電機機械
7751,竑騰,43.35,半導體業
7752,世紀樺欣,29.20,綠能環保
7754,安基生技,8.65,生技醫療業
7756,多那之,22.99,觀光餐旅
7757,金色三麥,32.09,觀光餐旅
7761,三大未來,10.83,綠能環保
7762,吉晟生,12.02,生技醫療業
7765,中華資安,20.02,數位雲端
8041,東元精電,21.56,電機機械
8045,達運光電,15.76,通信網路業
8098,慶康科技,90.42,半導體業
8102,傑霖科技,14.29,半導體業
8119,公信,17.03,電腦及週邊設備業
8272,全景軟體,22.06,資訊服務業
8298,威睿,8.94,資訊服務業
8329,台視,11.49,文化創意業
8359,錢櫃,52.18,觀光餐旅
8458,影一,8.08,文化創意業
9957,燁聯,7.44,鋼鐵工業
