股票代號,公司名稱,最新一季每股淨值(元),產業類別
8921,沈氏,21.16,其他
8923,時報,14.48,文化創意業
8924,大田,47.59,運動休閒
8927,北基,15.00,油電燃氣業
8928,鉅明,20.72,運動休閒
8929,富堡,17.29,其他
8930,青鋼,17.43,鋼鐵工業
8931,大汽電,16.54,油電燃氣業
8932,智通,15.81,其他
8933,愛地雅,7.25,運動休閒
8935,邦泰,8.84,其他
8936,國統,22.72,其他
8937,合騏,10.82,其他
8938,明安,49.44,運動休閒
8941,關中,32.12,居家生活
8942,森鉅,52.07,其他
9949,琉園,8.28,文化創意業
9950,萬國通,8.75,塑膠工業
9951,皇田,47.43,電機機械
9960,邁達康,18.87,運動休閒
9962,有益,12.01,鋼鐵工業
