股票代號,公司名稱,最新一季每股淨值(元),產業類別
3527,聚積,54.76,半導體業
3529,力旺,35.19,半導體業
3531,先益,30.89,光電業
3537,堡達,22.17,電子零組件業
3540,曜越,26.06,電腦及週邊設備業
3541,西柏,13.29,其他電子業
3546,宇峻,29.27,文化創意業
3548,兆利,83.52,電子零組件業
3551,世禾,63.65,綠能環保
3552,同致,51.12,其他電子業
3555,博士旺,8.88,半導體業
3556,禾瑞亞,17.62,半導體業
3558,神準,93.59,通信網路業
3564,其陽,21.24,通信網路業
3567,逸昌,16.88,半導體業
3570,大塚,51.73,資訊服務業
3577,泓格,19.54,電腦及週邊設備業
3580,友威科,22.81,其他電子業
3581,博磊,16.32,半導體業
3587,閎康,67.08,其他電子業
3594,磐儀,22.91,電腦及週邊設備業
3597,映興,14.44,電子零組件業
3609,三一東林,7.78,電子零組件業
3611,鼎翰,109.21,電腦及週邊設備業
3615,安可,32.87,光電業
3623,富晶通,12.82,光電業
3624,光頡,28.04,電子零組件業
3625,西勝,5.95,電腦及週邊設備業
3628,盈正,36.14,其他電子業
3629,地心引力,2.62,文化創意業
3630,新鉅科,14.10,光電業
3631,晟楠,15.81,電子零組件業
3632,研勤,3.54,通信網路業
3646,艾恩特,13.66,電子零組件業
3663,鑫科,16.36,其他電子業
3666,光耀,9.70,光電業
3672,康聯訊,9.57,通信網路業
3675,德微,47.85,半導體業
3680,家登,90.71,半導體業
3684,榮昌,20.80,通信網路業
3685,元創精密,10.27,電機機械
3687,歐買尬,48.16,數位雲端
3689,湧德,44.63,電子零組件業
3691,碩禾,71.88,光電業
3693,營邦,76.61,電腦及週邊設備業
3707,漢磊,15.94,半導體業
3709,鑫聯大投控,21.34,電腦及週邊設備業
3710,連展投控,5.87,電子零組件業
3713,新晶投控,8.23,綠能環保
4102,永日,15.92,生技醫療業
4105,東洋,23.35,生技醫療業
4107,邦特,45.53,生技醫療業
4109,加捷生醫,13.77,生技醫療業
4111,濟生,21.16,生技醫療業
4113,聯上,17.42,建材營造
4114,健喬,18.11,生技醫療業
4116,明基醫,23.89,生技醫療業
4120,友華,61.05,生技醫療業
4121,優盛,17.60,生技醫療業
4123,晟德,26.30,生技醫療業
4126,太醫,37.09,生技醫療業
4127,天良,10.36,生技醫療業
4128,中天,20.09,生技醫療業
4129,聯合,37.12,生技醫療業
4130,健亞,13.75,生技醫療業
4131,浩泰,8.17,生技醫療業
4138,曜亞,42.60,生技醫療業
4147,中裕,15.34,生技醫療業
4153,鈺緯,17.37,生技醫療業
4160,訊聯基因,24.08,生技醫療業
4161,聿新科,15.94,生技醫療業
4162,智擎,27.07,生技醫療業
4163,鐿鈦,49.99,生技醫療業
4167,松瑞藥,10.77,生技醫療業
4168,醣聯,10.64,生技醫療業
4171,瑞基,13.54,農業科技
4173,久裕,25.35,生技醫療業
4174,浩鼎,12.52,生技醫療業
4175,杏一,32.57,生技醫療業
4183,福永生技,12.89,生技醫療業
4188,安克,6.71,生技醫療業
4192,杏國,9.31,生技醫療業
4198,欣大健康,11.20,生技醫療業
4205,中華食,21.13,食品工業
4207,環泰,13.26,食品工業
4303,信立,18.48,塑膠工業
4304,勝昱,1.91,塑膠工業
4305,世坤,20.31,塑膠工業
4401,東隆興,21.32,紡織纖維
4402,郡都開發,6.73,紡織纖維
4406,新昕纖,11.75,紡織纖維
4413,飛寶企業,10.98,紡織纖維
4416,三圓,29.15,建材營造
4417,金洲,33.31,紡織纖維
4419,皇家美食,5.68,觀光餐旅
4420,光明,46.63,紡織纖維
4430,耀億,32.12,其他
4432,銘旺實,27.25,紡織纖維
4433,興采,31.62,紡織纖維
4502,健信,12.22,電機機械
4503,金雨,14.26,電機機械
4506,崇友,28.39,電機機械
4510,高鋒,17.00,電機機械
4513,福裕,12.95,電機機械
4523,永彰,13.47,電機機械
4527,方方土霖,21.03,電機機械
4528,江興鍛,26.81,電機機械
4529,淳紳,3.96,其他
4530,宏易,3.06,觀光餐旅
4533,協易機,16.15,電機機械
4534,慶騰,7.95,電機機械
4535,至興,32.32,電機機械
4538,大詠城,14.65,電機機械
4541,晟田,22.68,其他
4542,科嶠,20.46,電子零組件業
4543,萬在,31.18,電機機械
4549,桓達,31.35,電機機械
4550,長佳,23.28,電機機械
4554,橙的,19.04,其他電子業
4556,旭然,19.73,其他
4558,寶緯,18.35,電機機械
4561,健椿,22.83,電機機械
4563,百德,28.49,電機機械
4568,科際精密,33.45,電機機械
4577,達航科技,19.93,其他電子業
4580,捷流閥業,52.92,電機機械
4584,君帆,34.50,電機機械
4609,唐鋒,3.41,居家生活
4702,中美實,17.04,居家生活
4706,大恭,18.89,化學工業
4707,磐亞,16.09,化學工業
4711,永純,16.82,化學工業
4712,福格創新,3.10,其他
4714,永捷,12.53,化學工業
4716,大立,13.61,化學工業
4721,美琪瑪,16.23,化學工業
4726,永昕,10.81,生技醫療業
4728,雙美,21.88,生技醫療業
4729,熒茂,14.38,光電業
4735,豪展,24.59,生技醫療業
4741,泓瀚,27.77,化學工業
4743,合一,29.68,生技醫療業
4744,皇將,21.15,生技醫療業
4747,強生製藥,36.99,生技醫療業
4754,國碳科,15.85,化學工業
4760,勤凱科技,28.21,其他電子業
4767,誠泰科技,29.07,化學工業
4768,晶呈科技,37.29,化學工業
4806,桂田文創,3.60,文化創意業
4903,聯光通,10.00,通信網路業
4905,台聯電,98.11,通信網路業
4907,富宇,17.88,建材營造
4908,前鼎,20.34,通信網路業
4909,新復興,28.37,通信網路業
4911,德英,13.92,生技醫療業
