Date,Open,High,Low,Close
"Aug 30, 2024",79.3,79.4,79.2,79.3
"Aug 29, 2024",79.5,79.7,79.1,79.3
"Aug 28, 2024",79.7,80.3,79.3,79.5
"Aug 27, 2024",80.4,80.8,79.2,79.4
"Aug 26, 2024",79.1,81.2,78.0,79.6
"Aug 23, 2024",80.0,80.0,78.6,78.9
"Aug 22, 2024",80.0,80.1,79.5,80.0
"Aug 21, 2024",81.0,81.7,79.4,79.9
"Aug 20, 2024",83.3,83.3,81.0,81.0
"Aug 19, 2024",78.8,85.0,78.7,83.5
"Aug 16, 2024",78.3,79.3,78.0,78.8
"Aug 15, 2024",79.4,80.8,78.2,78.8
"Aug 14, 2024",86.0,86.7,80.2,82.6
"Aug 13, 2024",88.2,89.1,86.0,88.5
"Aug 12, 2024",88.0,88.6,87.1,88.5
"Aug 09, 2024",86.9,88.3,86.9,88.0
"Aug 08, 2024",88.3,88.6,85.7,87.2
"Aug 07, 2024",85.3,88.6,84.7,88.6
"Aug 06, 2024",86.1,86.1,84.4,85.0
"Aug 05, 2024",88.5,88.5,85.2,85.8
"Aug 02, 2024",87.5,90.0,87.0,88.5
"Aug 01, 2024",90.0,90.7,89.6,89.6
"Jul 31, 2024",91.3,91.3,87.7,90.3
"Jul 30, 2024",89.0,90.4,87.7,90.4
"Jul 29, 2024",89.3,91.0,89.0,89.3
"Jul 26, 2024",88.7,89.7,88.4,89.2
"Jul 23, 2024",89.3,90.9,88.4,88.5
"Jul 22, 2024",91.0,93.0,85.7,88.1
"Jul 19, 2024",95.3,95.3,91.0,92.0
"Jul 18, 2024",94.7,97.2,93.0,95.8
"Jul 17, 2024",97.5,98.5,92.8,94.9
"Jul 16, 2024",94.3,99.9,94.3,96.7
"Jul 15, 2024",93.8,94.3,93.4,94.0
"Jul 12, 2024",93.5,93.9,92.8,93.4
"Jul 11, 2024",90.0,97.0,90.0,93.2
"Jul 10, 2024",90.5,91.3,90.5,91.2
"Jul 09, 2024",91.3,91.3,90.0,90.7
"Jul 08, 2024",90.6,92.3,90.3,91.0
"Jul 05, 2024",92.3,94.0,90.3,90.3
"Jul 04, 2024",88.3,93.9,88.1,92.3
"Jul 03, 2024",87.6,88.8,87.6,88.1
"Jul 02, 2024",89.7,90.5,87.7,88.0
"Jul 01, 2024",91.4,91.9,89.4,90.7
"Jun 28, 2024",98.0,99.0,91.0,91.8
"Jun 27, 2024",92.7,98.7,92.0,97.9
"Jun 26, 2024",86.2,95.0,86.0,93.0
"Jun 25, 2024",85.5,86.3,85.0,86.0
"Jun 24, 2024",85.2,85.5,84.8,85.5
"Jun 21, 2024",85.3,85.5,84.7,85.2
"Jun 20, 2024",85.2,85.5,84.7,84.9
"Jun 19, 2024",85.8,86.0,85.2,85.2
"Jun 18, 2024",85.0,85.9,85.0,85.5
"Jun 17, 2024",85.3,85.8,85.0,85.5
"Jun 14, 2024",85.3,85.3,84.7,85.2
"Jun 13, 2024",85.1,85.2,84.6,84.7
"Jun 12, 2024",85.3,85.3,84.8,84.8
"Jun 11, 2024",84.9,85.2,84.7,84.7
"Jun 07, 2024",85.3,85.3,84.4,84.4
"Jun 06, 2024",85.3,85.3,84.7,85.2
"Jun 05, 2024",85.3,85.3,84.7,85.2
"Jun 04, 2024",84.7,85.3,84.7,85.0
"Jun 03, 2024",85.0,86.0,83.5,85.5
"May 31, 2024",83.9,83.9,82.7,82.7
"May 30, 2024",85.0,85.0,82.7,83.2
"May 29, 2024",83.5,85.3,83.5,84.7
"May 28, 2024",82.8,84.3,82.5,84.2
"May 27, 2024",82.3,84.1,82.0,82.4
"May 24, 2024",82.0,82.3,81.7,82.2
"May 23, 2024",81.0,82.2,81.0,82.2
"May 22, 2024",82.6,83.8,81.7,82.0
"May 21, 2024",84.8,84.8,83.0,83.0
"May 20, 2024",86.2,86.2,83.8,84.7
"May 17, 2024",88.2,88.2,83.2,86.2
"May 16, 2024",88.0,88.9,86.0,88.2
"May 15, 2024",83.4,88.0,83.1,85.3
"May 14, 2024",81.3,83.3,81.0,83.1
"May 13, 2024",80.4,81.5,80.3,80.5
"May 10, 2024",81.0,81.3,79.7,80.3
"May 09, 2024",81.0,81.0,80.2,80.8
"May 08, 2024",80.1,80.8,80.1,80.8
"May 07, 2024",80.0,80.9,80.0,80.9
"May 06, 2024",81.3,81.3,80.0,80.5
"May 03, 2024",80.5,81.2,79.9,80.4
"May 02, 2024",80.9,80.9,79.7,80.3
"Apr 30, 2024",81.8,81.8,79.9,80.0
