Date,Open,High,Low,Close
"Aug 30, 2024",84.1,84.1,83.0,84.1
"Aug 29, 2024",84.1,84.1,84.1,84.1
"Aug 28, 2024",84.1,84.1,84.1,84.1
"Aug 27, 2024",84.1,84.1,80.5,84.1
"Aug 26, 2024",83.8,84.1,81.4,84.1
"Aug 23, 2024",83.8,84.1,83.8,83.8
"Aug 22, 2024",84.8,85.1,84.0,84.0
"Aug 21, 2024",85.7,86.0,84.8,84.8
"Aug 20, 2024",86.8,86.8,84.8,85.1
"Aug 19, 2024",87.2,87.5,86.5,87.3
"Aug 16, 2024",88.4,90.3,87.0,90.3
"Aug 15, 2024",86.5,88.4,86.5,88.4
"Aug 14, 2024",87.1,88.5,87.0,87.5
"Aug 13, 2024",87.5,91.0,87.5,91.0
"Aug 12, 2024",87.7,91.4,87.1,88.5
"Aug 09, 2024",86.7,89.3,86.7,87.7
"Aug 08, 2024",89.6,89.6,89.6,89.6
"Aug 07, 2024",90.0,90.0,86.1,90.0
"Aug 06, 2024",93.0,93.0,86.0,90.0
"Aug 05, 2024",90.0,90.0,90.0,90.0
"Aug 02, 2024",94.4,94.4,90.0,94.4
"Aug 01, 2024",94.3,94.3,90.0,94.0
"Jul 31, 2024",94.0,94.0,94.0,94.0
"Jul 30, 2024",94.3,95.0,90.8,94.6
"Jul 29, 2024",94.5,95.0,94.2,94.8
"Jul 26, 2024",94.6,95.0,94.6,95.0
"Jul 24, 2024",95.5,95.5,95.5,95.5
"Jul 23, 2024",95.5,95.5,95.5,95.5
"Jul 22, 2024",96.0,96.5,95.0,95.5
"Jul 19, 2024",95.5,95.5,95.5,95.5
"Jul 18, 2024",95.2,98.5,95.2,98.5
"Jul 17, 2024",96.0,97.0,95.0,95.7
"Jul 16, 2024",96.0,96.3,95.7,96.0
"Jul 15, 2024",99.0,99.0,99.0,99.0
"Jul 12, 2024",98.0,98.0,98.0,98.0
"Jul 11, 2024",98.0,98.0,98.0,98.0
"Jul 10, 2024",97.1,98.0,97.0,98.0
"Jul 09, 2024",97.1,101.5,97.1,101.5
"Jul 08, 2024",97.1,97.1,97.1,97.1
"Jul 05, 2024",100.0,100.0,100.0,100.0
"Jul 04, 2024",97.7,100.0,97.7,99.0
"Jul 03, 2024",99.0,99.0,99.0,99.0
"Jul 02, 2024",100.0,100.0,99.0,99.0
"Jul 01, 2024",100.0,100.5,98.0,100.0
"Jun 28, 2024",102.0,102.0,99.7,99.7
"Jun 27, 2024",100.0,100.0,99.7,99.7
"Jun 26, 2024",107.0,107.0,99.0,99.3
"Jun 25, 2024",103.0,103.0,103.0,103.0
"Jun 24, 2024",99.3,105.5,99.3,105.0
"Jun 21, 2024",99.3,99.3,99.3,99.3
"Jun 20, 2024",100.0,100.0,99.0,99.3
"Jun 19, 2024",101.0,101.0,99.7,100.0
"Jun 18, 2024",102.5,102.5,100.0,101.0
"Jun 17, 2024",102.5,102.5,102.5,102.5
"Jun 14, 2024",98.8,102.5,98.8,102.5
"Jun 13, 2024",98.8,98.8,98.8,98.8
"Jun 12, 2024",96.0,100.0,96.0,99.5
"Jun 11, 2024",100.0,100.0,100.0,100.0
"Jun 07, 2024",99.0,99.0,96.0,96.0
"Jun 06, 2024",98.0,100.0,98.0,100.0
"Jun 05, 2024",99.7,99.7,99.7,99.7
"Jun 04, 2024",100.0,100.0,99.5,99.7
"Jun 03, 2024",100.0,100.0,100.0,100.0
"May 31, 2024",100.5,100.5,97.6,97.6
"May 30, 2024",100.5,100.5,100.5,100.5
"May 29, 2024",100.5,100.5,100.5,100.5
"May 28, 2024",100.5,100.5,100.5,100.5
"May 27, 2024",100.5,100.5,100.5,100.5
"May 24, 2024",100.5,100.5,100.5,100.5
"May 23, 2024",100.5,100.5,100.5,100.5
"May 22, 2024",100.0,100.0,100.0,100.0
"May 21, 2024",97.4,97.4,97.4,97.4
"May 20, 2024",96.8,97.4,96.8,97.4
"May 17, 2024",100.0,100.0,95.5,96.0
"May 16, 2024",100.0,100.0,100.0,100.0
"May 15, 2024",100.0,100.0,100.0,100.0
"May 14, 2024",100.0,100.0,97.2,97.6
"May 13, 2024",99.7,99.7,99.0,99.7
"May 10, 2024",99.7,99.7,99.7,99.7
"May 09, 2024",101.5,101.5,101.5,101.5
"May 08, 2024",101.5,101.5,101.5,101.5
"May 07, 2024",101.0,102.0,101.0,102.0
"May 06, 2024",104.0,104.0,104.0,104.0
"May 03, 2024",102.5,102.5,102.5,102.5
"May 02, 2024",102.5,105.0,102.0,102.0
"Apr 30, 2024",101.0,101.5,100.5,100.5
"Apr 29, 2024",99.0,99.0,98.7,99.0
"Apr 26, 2024",99.5,99.5,98.7,99.0
"Apr 25, 2024",99.5,99.5,99.0,99.0
"Apr 24, 2024",99.5,99.5,99.5,99.5
"Apr 23, 2024",98.0,98.0,98.0,98.0
"Apr 22, 2024",99.0,99.4,97.5,98.0
"Apr 19, 2024",99.0,99.0,96.7,99.0
"Apr 18, 2024",99.0,99.0,99.0,99.0
"Apr 17, 2024",98.0,98.0,96.7,96.7
"Apr 16, 2024",96.6,98.0,96.6,98.0
"Apr 15, 2024",97.1,98.0,95.7,97.4
"Apr 12, 2024",99.3,100.0,99.0,99.0
"Apr 11, 2024",97.2,99.3,97.2,99.3
"Apr 10, 2024",97.5,97.5,96.8,97.2
"Apr 09, 2024",97.1,97.4,97.0,97.3
"Apr 08, 2024",97.4,97.7,97.1,97.1
"Apr 03, 2024",97.7,98.3,97.7,98.3
"Apr 02, 2024",98.0,98.3,98.0,98.3
"Apr 01, 2024",97.9,98.0,96.7,97.5
"Mar 29, 2024",97.7,99.2,97.0,97.3
"Mar 28, 2024",101.5,102.0,98.0,99.0
"Mar 27, 2024",100.0,102.0,99.0,101.0
"Mar 26, 2024",105.0,105.0,105.0,105.0
"Mar 25, 2024",105.0,105.0,105.0,105.0
"Mar 22, 2024",108.5,108.5,102.0,105.0
"Mar 21, 2024",108.0,108.0,108.0,108.0
"Mar 20, 2024",106.0,108.0,106.0,106.0
"Mar 19, 2024",107.5,108.0,105.0,105.0
"Mar 18, 2024",107.5,107.5,107.5,107.5
"Mar 15, 2024",109.5,113.5,102.5,107.5
"Mar 14, 2024",110.5,115.5,110.5,114.0
"Mar 13, 2024",118.0,118.5,111.0,115.5
"Mar 12, 2024",118.0,118.0,116.0,118.0
"Mar 11, 2024",118.0,118.0,118.0,118.0
"Mar 08, 2024",123.5,123.5,115.0,118.0
"Mar 07, 2024",118.0,118.0,115.5,118.0
"Mar 06, 2024",122.5,123.0,117.0,123.0
"Mar 05, 2024",122.5,122.5,117.0,122.5
"Mar 04, 2024",123.0,123.0,117.5,123.0
"Mar 01, 2024",123.0,123.0,118.0,123.0
"Feb 29, 2024",123.5,124.0,118.0,123.0
"Feb 27, 2024",124.0,124.0,124.0,124.0
"Feb 26, 2024",123.5,124.0,122.5,124.0
"Feb 23, 2024",123.5,124.5,123.0,123.5
"Feb 22, 2024",124.0,129.0,123.0,123.5
"Feb 21, 2024",123.5,124.0,123.5,124.0
"Feb 20, 2024",125.0,125.0,121.5,121.5
"Feb 19, 2024",123.0,125.0,120.5,125.0
"Feb 16, 2024",125.0,125.0,121.0,123.0
"Feb 15, 2024",125.0,126.5,124.0,126.0
"Feb 05, 2024",128.5,128.5,128.5,128.5
"Feb 02, 2024",128.5,128.5,128.5,128.5
"Feb 01, 2024",128.5,129.0,125.5,128.5
"Jan 31, 2024",129.0,129.0,125.0,128.5
"Jan 30, 2024",125.0,130.5,125.0,129.5
"Jan 29, 2024",127.5,127.5,127.5,127.5
"Jan 26, 2024",127.5,127.5,127.5,127.5
"Jan 25, 2024",127.5,127.5,127.5,127.5
"Jan 24, 2024",127.5,127.5,127.5,127.5
"Jan 23, 2024",125.0,130.5,125.0,130.5
"Jan 22, 2024",131.0,131.0,131.0,131.0
"Jan 19, 2024",131.0,131.0,125.0,131.0
"Jan 18, 2024",127.0,132.5,126.5,131.0
"Jan 17, 2024",129.0,129.0,127.0,129.0
"Jan 16, 2024",129.0,129.0,129.0,129.0
